Key,Value
T1055.001,Attacker has used Metasploit to perform reflective DLL injection in order to escalate privileges.
T1132.001,Software can Base32 encode chunks of output files during exfiltration.
T1078.004,During the Attacker used a compromised O365 administrator account to create a new Service Principal.
T1570,Attacker has copied web shells between servers in targeted environments.
T1547.005,Adversaries may abuse security support providers  to execute DLLs when the system boots.
T1218.011,Attacker used Rundll32 to execute payloads.
T1071.001,Attacker uses HTTP for C2 communications.
T1548.006,"If permissions do not exist, then the user is prompted to grant permission."
T1095,Software can use TCP in C2 communications.
T1070.004,Software has deleted files related to its dynamic debugger feature.
T1041,Software can send collected victim data to its C2 server.
T1032,Attacker has used RC4 encryption  and AES  to obfuscate HTTP traffic.
T1059.003,Attacker ran a reverse shell with Meterpreter. Attacker used JavaScript code and .SCT files on victim machines.
T1608.001,Attacker has used compromised domains to host its malicious payloads.
T1110,Attacker has used brute force techniques to obtain credentials.
T1140,"Attacker has decoded base64-encoded PowerShell, JavaScript, and VBScript."
T1608.004,Adversaries may purchase domains similar to legitimate domains
T1027.013,Software's module file has been encrypted via XOR.
T1505.001,Adversaries may craft or modify CLR assemblies that are linked to stored procedures since these CLR assemblies can be made to execute arbitrary commands.
T1486,"Software, Locky, Jaff, Bart, Philadelphia, and GlobeImposter, to encrypt victim files and demand a ransom payment."
T1064,Some scripting languages may be used to bypass process monitoring mechanisms by directly interacting with the operating system at an API level instead of calling other programs.
T1078.003,Software can use known credentials to run commands and spawn processes as a local user account.
T1071.004,"Attacker has performed C2 using DNS via A, OPT, and TXT records."
T1021.002,Attacker actors have been known to copy files to the network shares of other computers to move laterally.
T1213.003,Users typically interact with code repositories through a web application or command-line utilities such as git.
T1098.001,Software can generate SSH and API keys for AWS infrastructure and additional API keys for other IAM users.
T1025,Attacker RPC backdoors can collect files from USB thumb drives.
T1113,Software can take screenshots on a compromised host by calling a series of APIs.
T1053.005,Software has created a scheduled task for persistence.
T1059,Software can generate shellcode outputs that execute via Ruby.
T1583.001,Attacker has registered hundreds of domains for use in operations.
T1094,Adversaries may communicate using a custom command and control protocol instead of encapsulating commands/data in an existing .
T1543.004,"Additionally, system configuration changes  may cause folders such as <code>usr/local/bin</code> to become globally writeable."
T1600,"Typically, longer keys increase the cost of cryptanalysis, or decryption without the key."
T1059.003,Software can launch a reverse command shell.
T1069.002,"Attacker has used the command `net group ""domain admins"" /domain` to enumerate domain groups."
T1546.007,Adversaries can use netsh.exe helper DLLs to trigger execution of arbitrary code in a persistent manner.
T1036.005,"Software mimics the resource version information of legitimate Realtek Semiconductor, Nvidia, or Synaptics modules."
T1087.003,"Attacker used malware to enumerate email settings, including usernames and passwords, from the M.E.Doc application."
T1593.001,Attacker has copied data from social media sites to impersonate targeted individuals.
T1056.001,"During , threat actors obtained the password for the victim's password manager via a custom keylogger."
T1098.003,An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant.
T1218.014,Microsoft Management Console  is a binary that may be signed by Microsoft and is used in several ways in either its GUI or in a command prompt.
